id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
4AuRsGcSsNqslLywUCWhAG,Idhedho Bagundhe,0.845,0.315,0.762,0.000208,0.165,0.623,-6.655,0.0692,117.987,11,4
3YB09zhSWO8mmESr8NUV0n,Manasa,0.863,0.328,0.625,4.93E-06,0.0831,0.938,-6.901,0.0417,100.012,9,4
5haAVKCKAfb7IYLplcao0h,Nijanga Nenena,0.714,0.845,0.464,0.00428,0.0833,0.511,-11.545,0.0483,129.935,7,4
7m64tTau2Rh6hzVDA1oV6K,Evare Nuvvu,0.813,0.122,0.696,0,0.104,0.521,-6.243,0.0363,119.96,10,4
1C2gJaINSao4GEXySYopiS,Violin Song,0.806,0.0827,0.745,3.92E-05,0.164,0.844,-4.234,0.0627,121.96,0,4
5kmh1Zf0hYESmxwDI1IosB,Gundu Sudhi,0.67,0.564,0.702,2.27E-06,0.303,0.835,-6.773,0.0416,134.87,4,4
1VDDoa82Oktn7FDPKBcsw8,O Madhu,0.836,0.489,0.647,0.123,0.164,0.963,-4.24,0.0553,94.984,11,4
0hwlEWBrraTWI9PTNzG0RJ,Cheliya,0.629,0.00781,0.88,0.0367,0.0461,0.78,-4.786,0.0879,100.917,4,4
3geKpJNdURFqbA8OqaR7vr,Attu Nuvve,0.661,0.604,0.655,1.88E-05,0.0881,0.577,-4.556,0.0939,164.033,2,4
4wUOdPcYoqYZGM2wSdoLQu,Nee Yadalo Naaku,0.871,0.0301,0.363,0.0609,0.11,0.454,-6.691,0.033,105.034,0,4
37I2SLeJcpkQpKFMLJt550,Karige Loga,0.686,0.102,0.798,1.30E-06,0.119,0.651,-4.047,0.0993,92.02,0,4
5ouWiqJMTafavTori4HePx,Hrudayam Ekkadunnadi,0.823,0.14,0.629,2.36E-05,0.0721,0.924,-5.787,0.07,96.997,9,4
1GIX3Z78P6PJg8srUYAqjF,Nenu Nenuga,0.666,0.358,0.497,2.21E-05,0.124,0.48,-9.088,0.0429,81.503,2,3
7wFL4hNlhotHNU6qZi9bHR,Ee Hridayam,0.611,0.3,0.794,0.00184,0.0471,0.705,-6.813,0.0415,85.986,7,4
3LYt0b1ljHUYoG5YL2WwWP,Ye Chilipi,0.638,0.0181,0.655,0,0.422,0.497,-7.338,0.0291,109.973,9,4
