id,name,danceability,acousticness,liveness,loudness,speechiness,label
https://open.spotify.com/embed/track/0ROW5t0PWyBS6k0UizBr6c,"Ullaasam (From ""Saripodhaa Sanivaaram"")",0.715,0.358,0.0486,0.7120781693878189,0.0357,Chill
https://open.spotify.com/embed/track/6b2WJDzGt5X8dYfpkWtvXW,"Fear Song (From ""Devara Part 1"") [Telugu]",0.642,0.0807,0.118,0.7710486061249338,0.181,Cheerful
https://open.spotify.com/embed/track/538V6gFAnhcLZrg6I8lIMI,"Hungry Cheetah (From ""They Call Him OG"")",0.736,0.436,0.303,0.8328598632660071,0.136,Chill
https://open.spotify.com/embed/track/30CBQmKZ0fugbhs7ExGT1e,"Gumma (From ""Ambajipeta Marriage Band"")",0.802,0.505,0.132,0.7156057815377892,0.314,Chill
https://open.spotify.com/embed/track/6EQVXaIi22Ilmkt1Coi9gZ,"Souraa (From ""Bharateeyudu 2"")",0.678,0.244,0.0634,0.7540036837011833,0.093,Cheerful
https://open.spotify.com/embed/track/5bnxMZqd9Kpn9ByHj3Dc9C,"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [TELUGU]",0.819,0.33,0.0825,0.6445228358255549,0.0935,Cheerful
https://open.spotify.com/embed/track/1g9V1QE7vbeAx5Xm04DfLi,"Odiyamma (From ""Hi Nanna"") [TELUGU]",0.751,0.615,0.0791,0.7304654574969563,0.153,Chill
https://open.spotify.com/embed/track/1qgb9TXSQqOHmVj5dBAtFX,Lingi Lingi Lingidi,0.742,0.0122,0.107,0.6230449848593639,0.209,Cheerful
https://open.spotify.com/embed/track/4ooaLueG56Bsq44TUNRgAn,"Poolamme Pilla (From ""HanuMan"") [Telugu]",0.745,0.215,0.0916,0.7617456997471359,0.0816,Cheerful
https://open.spotify.com/embed/track/0hujsbFzpm9RjOs4mnVclo,"Samayama (From ""Hi Nanna"")",0.706,0.623,0.0733,0.8036399962538634,0.0445,Chill
https://open.spotify.com/embed/track/1JJjHoFLuQQKddOzD8pYsS,Andhamyna Bhamalu,0.75,0.127,0.136,0.6980613742078482,0.308,Cheerful
https://open.spotify.com/embed/track/2cDyQDAoP0cPQXzaviXu2f,Vellake,0.652,0.684,0.152,0.7279992507726408,0.0339,Romantic
https://open.spotify.com/embed/track/4wFU6Q4vInTg2HQ2mkko8x,Priya Mithunam (Telugu),0.18,0.917,0.123,0.5888927043985891,0.0389,Romantic
https://open.spotify.com/embed/track/3GCwsB2loRGeUL8oq2Y4TW,Chamkeela Angeelesi,0.871,0.464,0.0461,0.824618362313864,0.193,Chill
https://open.spotify.com/embed/track/48CzymfD7NHtc78cwVkbtD,Pulsar Bike,0.794,0.168,0.269,0.8893328754721694,0.0724,Cheerful
https://open.spotify.com/embed/track/59eeV0SIeyd431uyjAWCRe,"Mastaaru Mastaaru (From ""Sir"")(Telugu)",0.594,0.385,0.877,0.7158867417975213,0.0428,Energetic
https://open.spotify.com/embed/track/0X0Y2AnYuIdn9arB8P6EB4,Nenu Nuvvantu,0.743,0.153,0.125,0.691193456747729,0.0354,Cheerful
https://open.spotify.com/embed/track/5lros38FrhzSXgABKnBsb4,"Jinthaak Chithaka (From ""Dhamaka"")",0.899,0.335,0.0293,0.8458464708269599,0.168,Cheerful
https://open.spotify.com/embed/track/3eIkuy5Fr7kuQXiro0czUM,Darshana,0.614,0.68,0.0649,0.7048980738613305,0.297,Chill
https://open.spotify.com/embed/track/6Vq4ePrJPZ2vU6DXnZGcVD,Pillaa Raa,0.414,0.623,0.229,0.729591358911123,0.136,Romantic
https://open.spotify.com/embed/track/5idQ5WN2CK5FeUhRQ4ZvKY,Thattukolede,0.652,0.428,0.131,0.641557144195049,0.0325,Chill
https://open.spotify.com/embed/track/29ffQxBUZLJdN3kiPndB9n,Neeti Mullai (Bit),0.683,0.827,0.137,0.5600786688727252,0.0336,Romantic
https://open.spotify.com/embed/track/1eWooUUh7E796VP86o15BN,Baguntundhi Nuvvu Navvithe,0.76,0.504,0.0957,0.6808915805575501,0.0426,Chill
https://open.spotify.com/embed/track/7gVqTSJ4Mr5uKkM9yhQKop,Rooba Rooba,0.843,0.125,0.334,0.6891330815096931,0.0498,Cheerful
https://open.spotify.com/embed/track/0WM0NpFIZg6JhgneUyU5tl,Inka Edho,0.64,0.333,0.188,0.7575000780445167,0.0314,Chill
https://open.spotify.com/embed/track/57zEYntUat0ofbFpoicN26,Uppenantha,0.677,0.185,0.28,0.8843068086036276,0.133,Cheerful
https://open.spotify.com/embed/track/4QMZ6gwFTLk9qOhaQsGIxf,Neeve,0.749,0.111,0.22,0.6662192114382044,0.0389,Cheerful
https://open.spotify.com/embed/track/6WCVnARSUrBrfzod8oAAQ3,Mellaga,0.78,0.153,0.27,0.8140667436705898,0.132,Cheerful
https://open.spotify.com/embed/track/2jRAFRpeDnibcHvtDgWRhG,Nuvvu Nuvvu,0.806,0.396,0.0881,0.6989979084069554,0.0356,Chill
https://open.spotify.com/embed/track/6Yqw4HtJuFXleJtgzYXWzT,Endhuko Emo,0.827,0.0577,0.178,0.8055442824587147,0.0357,Cheerful
https://open.spotify.com/embed/track/4AuRsGcSsNqslLywUCWhAG,Idhedho Bagundhe,0.845,0.315,0.165,0.758093216370618,0.0692,Cheerful
https://open.spotify.com/embed/track/3YB09zhSWO8mmESr8NUV0n,Manasa,0.863,0.328,0.0831,0.7504136359379392,0.0417,Cheerful
https://open.spotify.com/embed/track/5haAVKCKAfb7IYLplcao0h,Nijanga Nenena,0.714,0.845,0.0833,0.6054381419161491,0.0483,Romantic
https://open.spotify.com/embed/track/7m64tTau2Rh6hzVDA1oV6K,Evare Nuvvu,0.813,0.122,0.104,0.7709549527050231,0.0363,Cheerful
https://open.spotify.com/embed/track/1C2gJaINSao4GEXySYopiS,Violin Song,0.806,0.0827,0.164,0.8336715262385667,0.0627,Cheerful
https://open.spotify.com/embed/track/5kmh1Zf0hYESmxwDI1IosB,Gundu Sudhi,0.67,0.564,0.303,0.7544095151874631,0.0416,Chill
https://open.spotify.com/embed/track/1VDDoa82Oktn7FDPKBcsw8,O Madhu,0.836,0.489,0.164,0.8334842193987452,0.0553,Chill
https://open.spotify.com/embed/track/0hwlEWBrraTWI9PTNzG0RJ,Cheliya,0.629,0.00781,0.0461,0.8164392969749947,0.0879,Cheerful
